# Ground-material opacity - generated by ctrmap.tools.GroundMaterialAudit.
# A terrain brush may only paint into one of the map's OWN materials when
# that material's texture is essentially opaque. Transparent ones are sprite
# strips and decoration atlases: painting a floor with them draws nothing.
# material	texture	occurrences	worstOpaquePercent
ChipRef_cave_basic	gake_hono_01	21	100.00
ChipRef_cave_basic1	gake_01_02	6	100.00
ChipRef_chip_cave	chip_doukutsu01	20	100.00
ChipRef_chip_cave1	chip_doukutsu01	2	100.00
ChipRef_chip_cave16	gake_hono_02	4	100.00
ChipRef_chip_gake01	chip_gake01	1	100.00
ChipRef_chip_grass_decolate10	r103_deco	2	24.93
ChipRef_chip_jump_gake	chip_jump_gake	1	42.83
ChipRef_chip_jump_gake1	chip_jump_gake	4	42.83
ChipRef_chip_jump_gake2	r110r0103_chip_jump_gake	1	42.83
ChipRef_chip_kusa	chip_kusa	2	100.00
ChipRef_chip_kusa11	chip_kusa	1	100.00
ChipRef_chip_kusa14	chip_kusa	1	100.00
ChipRef_chip_rock_b	chip_rock_b	16	7.62
ChipRef_chip_rock_b1	chip_rock_b	2	7.62
ChipRef_chip_rock_b16	chip_rock_b	1	7.62
ChipRef_chip_rock_b2	chip_rock_b	1	7.62
ChipRef_chip_rock_b4	chip_rock_b	1	7.62
ChipRef_chip_rock_b9	chip_rock_b	2	7.62
ChipRef_chip_rock_c	chip_rock_c	1	100.00
ChipRef_chip_rock_c2	chip_rock_c	2	100.00
ChipRef_chip_sea_b	chip_sea_b	10	100.00
ChipRef_gake_basic	gake_01_01	3	100.00
ChipRef_gake_basic2	gake_01_01	1	100.00
ChipRef_gake_sea_a	chip_gake_sea	6	100.00
ChipRef_gake_sea_a1	chip_gake_sea_aqua	4	100.00
ChipRef_gake_sea_a8	chip_gake_sea	1	100.00
ChipRef_gake_sea_b	chip_gake_sea_ground	3	100.00
ChipRef_gake_sea_b1	chip_gake_sea_ground_aqua	2	100.00
ChipRef_gake_sea_b8	chip_gake_sea_ground	1	100.00
MaterialRef_chip_gake04	chip_gake01	1	100.00
MaterialRef_chip_kusa_a	chip_kusa	3	100.00
MaterialRef_chip_kusa_a1	chip_kusa	2	100.00
MaterialRef_chip_kusa_a4	chip_kusa	1	100.00
MaterialRef_chip_kusa_b	chip_kusa_b	8	100.00
MaterialRef_chip_kusa_b1	chip_kusa_b	1	100.00
MaterialRef_chip_sea_b	chip_sea_b	3	100.00
aka_gake	mountain_gake01	5	100.00
akari_kanazumi	akari_kanazumi	7	100.00
alpha_chip_jump_gake	chip_jump_gake	2	42.83
b3_floor01	b3_floor01	1	100.00
battle01_01_chip_wood_b	chip_wood_b	10	47.22
battle01_01_chip_wood_shadow	chip_wood_shadow	2	0.34
battle01_object_a_door01	battle01_object_a_door01	1	100.00
beach_house	beach_house01	3	100.00
beach_parasol	beach_parasol	3	100.00
beach_parasol_al	beach_parasol_al	3	63.23
board01	board01	3	100.00
board01_r	board01_r	2	100.00
bridge_01	chip_bridge_01	1	100.00
c02r1001_carpet	c02r1001_carpet	2	100.00
c02r1001_floor	c02r1001_floor	2	100.00
c101_touka_chip_grass_decolate	d108_alpha	7	16.65
c101_touka_chip_soil	chip_soil_a	3	100.00
c101g_ent_floor1	c101g_ent_floor1	1	100.00
c101gym0102_floor_a	c101_floor_01	4	100.00
c101gym0102_floor_b	c101_floor_02	3	100.00
c101gym0102_floor_c	c101_floor_03	3	100.00
c101gym0103_c101gym0102_floor_a	c101_floor_01	1	100.00
c101gym0103_c101gym0102_floor_b	c101_floor_02	1	100.00
c101gym0103_c101gym0102_floor_c	c101_floor_03	1	100.00
c101gym0104_c101gym0102_floor_a	c101_floor_01	1	100.00
c101gym0104_c101gym0102_floor_b	c101_floor_02	1	100.00
c101gym0104_c101gym0102_floor_c	c101_floor_03	1	100.00
c101gym0106_00_00_c101gym0103_c101gym0102_floor_a	c101_floor_01	1	100.00
c101gym0106_00_00_c101gym0103_c101gym0102_floor_b	c101_floor_02	1	100.00
c101gym0106_00_00_c101gym0103_c101gym0102_floor_c	c101_floor_03	1	100.00
c102_iwa_nami	chip_rock_b	1	7.62
c102_out_soil	c102_out_soil	1	100.00
c1030101_floor02_r	c1030101_floor02_r	1	100.00
c1030_floor04_r	c1030_floor04_r	1	100.00
c103_carpet01	c103_carpet01	4	100.00
c103_tv_grass	c103_tv_grass	1	28.13
c103c_floor2	c103c_floor2	6	100.00
c103food_floor	c103food_floor	1	100.00
c103food_floor2	c103food_floor2	1	100.00
c103food_niwa	c103food_niwa	1	100.00
c103r_floor	c103r_floor	7	100.00
c103r_floor01	c103r_floor01	7	100.00
c103r_floor0401	c103r_floor0401	1	100.00
c103r_floor04_r	c103r_floor04_r	7	100.00
c103r_floor11	c103r_floor11	1	100.00
c103r_floor12	c103r_floor12	1	100.00
c103r_floor13	c103r_floor13	3	100.00
c103r_floor2	c103r_floor2	1	100.00
c103r_grass	c103r_grass	6	0.00
c104g_gake01	c104g_gake01	1	92.20
c104g_gake02	c104g_gake02	1	100.00
c104g_gake03	c104g_gake03	1	100.00
c104g_gake04	c104g_gake04	1	100.00
c104g_yuka01	c104g_yuka01	1	100.00
c104g_yuka02	c104g_yuka02	1	100.00
c105_hashi01	c105_hashi01	2	100.00
c105_hashi01_1	c105_hashi01	3	100.00
c105_wood01	c105_wood01	1	100.00
c105_wood02	c105_wood02	1	100.00
c105_wood03	c105_wood03	1	100.00
c105_wood04	c105_wood04	1	100.00
c105_wood1	projection_dummy	2	100.00
c105_wood2	c105_wood2	2	46.91
c105_wood3	c105_wood3	3	79.01
c105_wood_a	c105_wood_a	2	100.00
c105g_gake01	c105g_gake01	1	100.00
c106r0102_floor	c106r0102_floor	1	100.00
c106r_floor	c106r_floor	1	100.00
c106r_floor01	c106r_floor01	1	100.00
c10706_soil_a	c10706_soil_a	1	100.00
c107r0601_floor	c107r0601_floor	1	100.00
c107r0601_floor03	c107r0601_floor03	2	100.00
c108_rune_10_chip_gake01	c108_gake_02	8	100.00
c108_rune_10_chip_gake02	chip_gake01	6	100.00
c108_rune_10_chip_kusa	chip_kusa	4	100.00
c108_rune_10_chip_sea_b	chip_sea_b	8	100.00
c108_rune_10_gake_rune	c108_gake_01	8	100.00
c108_rune_10_gake_sea_a	chip_gake_sea	8	100.00
c108_rune_10_kokoro02_d106_r0101_r104_test_chip_wood_b	c108a_wood	6	45.49
c108_rune_10_t106_grass_decolate	alpha	4	16.65
c109_prim_door1	kage_heya_kabe4	4	100.00
