0000002B	+
0000002D	-
00541AF9	BattleInst_GetBattleStartMsgId
016F1E0B	CallBoxSelect
019E8A38	TVSaveNews
020EE4B3	_PostmanReceivePresent
02431015	_GetDateTimeToSecond
02B71B2B	AreaR102AgehantMove
03C16974	ResetMirror
03EA4440	Waist
0511B06E	YesNoWin_Seq
05E71856	TrainerSPTypeGet
05F3DD82	CallBag
0638529E	CallWildBattleRockCrash
063E53EC	_SecretBaseInterestGoods
06B5E7C7	MdlPauseAnimNo
06BBCAED	BadgeGetFlag
07109D9E	CallFieldNotCaptureDemo
080600BC	BootYutakaEffect
081C2508	PokePartyGetCount
086CEE3F	_MdlAcmdMakeMoveCore
087FB294	_SecretBaseDanEventSetDefaultWord
08D03AA4	Body
08DFC6F7	SetEndYutakaEffect
08E77E59	LayoutFadeRequestOut
08EA0EF5	IESendMessage
08EB37A0	AddTrainerObjOnGrid
092D6450	RegionGet
0979CA6F	SecretBaseGoodsKurukuruPanel
09894E8F	WordSetPlayerNickName
098B4BD3	TrainerMoveOff
0997B123	_SecretBaseGetGeneralParam
099ED1E6	Head
09E8092E	GymFireGimmickDown
0A21A498	LToe
0A22878F	MegaEvolvedFlagGet
0AD9D8D8	BuildMdlEventAnimeIsEnd
0AE6AD7E	RToe
0AFA0653	WeatherEffectAlphaSet
0B0487DE	_SecretBaseMapChangeForMyBaseCreate
0B144EC1	_CallTrainerBattleCore
0BBFE3B9	_GetGameStartTimeToSecond
0C933955	ZoneIsPokecen
0DBF311E	EventMapReplace
0E4E79D6	OffMotionBlur
0E6FC00E	_FieldNutsGetParam
0E7BADBF	ChangeConvItem
0F3A383E	loc_mouth
1221052C	_PGLPostmanFuncCall
1225E6E6	MdlAcmdSetToOtherMdl
1229D432	SaveBattleRecord
13361B74	_SecretBaseTsupparikunEvent
133DAA6A	FlagGet
13413496	FlagSet
136F8362	PokePartyChangeFormNo
13CAD614	PokePartySetWaza
1479C291	TrainerGetInfo
14800EEC	MdlGetRailPosFront
148F6DAE	WordSetContestNewestNickname
15185F30	_SecretBaseGetGuildParam
153A0918	MdlSetWaitAnimeReq
15802F7D	_SecretBaseGetCurrentFlag
15E4CA6E	_FieldNutsPlantRebirth
15F86E59	MdlAcmdUpdate
16A02E01	CallHallOfFameMachineEffect
16D6F6AA	ShakeCameraBegin
16F257CA	GetPlayerFollowerAcmd
178B29B8	IsSelectedFriendMy64Bit
179B019F	_TrainerEyeRegist
184D321E	MEReturnBGM
18ADFA63	BattleHouse_SetRibbon
192C06FA	CallDendouDemo
194014DC	_SecretBaseGetParticularParam
194F0128	MdlAcmdInit
