# Terrain brush donors - generated by ctrmap.tools.TerrainDonorHarvester.
# Lets ANY brush paint on ANY map: the material is injected into the target
# model at paint time and its textures carried into the zone's area.
# Metadata only; geometry is cut from the user's own dump.
# brush	donorRegion	donorArea	donorMesh	materialName	injectName
GRASS	460	87	2	kusa_a	ctr_chip_kusa
TALL_GRASS	460	87	2	kusa_a	ctr_kusa
PATH	208	31	2	soil1	ctr_soil
SAND	44	12	14	sand	ctr_suna
WATER	388	74	4	enkei_sea	ctr_chip_sea
ROCK	316	205	12	rockline	ctr_chip_rock
CAVE	365	69	5	chip_doukutsu01	ctr_doukutsu
DEEP_SAND	44	12	14	sand	ctr_suna
ICE	608	151	4	c109_pur_ice2	ctr_koori
LEDGE_S	248	37	2	gake	ctr_gake
LEDGE_E	248	37	2	gake	ctr_gake
LEDGE_W	248	37	2	gake	ctr_gake
BIKE_RAIL	185	28	4	r110_road	ctr_deck
WATERFALL	356	67	15	d112taki2	ctr_taki
DOOR	401	217	0	door06	ctr_door
INDOOR	653	180	2	yuka	ctr_yuka
WALKWAY	619	158	2	hashi_Comb17	ctr_hashi
STAIRS_Z	303	53	4	stairs_chip_steps01a	ctr_kaidan
STAIRS_E	303	53	4	stairs_chip_steps01a	ctr_kaidan
STAIRS_W	303	53	4	stairs_chip_steps01a	ctr_kaidan
